"","fire","landscape","threshold","level","class","id","metric","value","rule"
"1","fire","1","high","class","0",NA,"area_mn",24.4073863636364,"4"
"2","fire","1","high","class","1",NA,"area_mn",2.63169642857143,"4"
"3","fire","1","high","class","0",NA,"lsi",5.13268608414239,"4"
"4","fire","1","high","class","1",NA,"lsi",11.6260869565217,"4"
"5","fire","1","high","class","0",NA,"np",88,"4"
"6","fire","1","high","class","1",NA,"np",112,"4"
"7","fire","1","high","class","0",NA,"para_mn",0.112236447234463,"4"
"8","fire","1","high","class","1",NA,"para_mn",0.0977421750151195,"4"
"9","fire","1","high","class","0",NA,"pland",87.9329403095063,"4"
"10","fire","1","high","class","1",NA,"pland",12.0670596904937,"4"
"11","fire","1","low","class","0",NA,"area_mn",26.0421428571429,"4"
"12","fire","1","low","class","1",NA,"area_mn",7.12241379310345,"4"
"13","fire","1","low","class","0",NA,"lsi",5.2421052631579,"4"
"14","fire","1","low","class","1",NA,"lsi",7.93975903614458,"4"
"15","fire","1","low","class","0",NA,"np",70,"4"
"16","fire","1","low","class","1",NA,"np",87,"4"
"17","fire","1","low","class","0",NA,"para_mn",0.109810260531701,"4"
"18","fire","1","low","class","1",NA,"para_mn",0.0998515206318951,"4"
"19","fire","1","low","class","0",NA,"pland",74.6315401621223,"4"
"20","fire","1","low","class","1",NA,"pland",25.3684598378777,"4"
"21","fire","2","high","class","0",NA,"area_mn",11.7385714285714,"4"
"22","fire","2","high","class","1",NA,"area_mn",1.54582417582418,"4"
"23","fire","2","high","class","0",NA,"lsi",12.2689655172414,"4"
"24","fire","2","high","class","1",NA,"lsi",16.3138686131387,"4"
"25","fire","2","high","class","0",NA,"np",161,"4"
"26","fire","2","high","class","1",NA,"np",273,"4"
"27","fire","2","high","class","0",NA,"para_mn",0.108768764661879,"4"
"28","fire","2","high","class","1",NA,"para_mn",0.103694561385035,"4"
"29","fire","2","high","class","0",NA,"pland",81.7463407038306,"4"
"30","fire","2","high","class","1",NA,"pland",18.2536592961694,"4"
"31","fire","2","low","class","0",NA,"area_mn",5.07153284671533,"4"
"32","fire","2","low","class","1",NA,"area_mn",3.09503355704698,"4"
"33","fire","2","low","class","0",NA,"lsi",17.1927710843373,"4"
"34","fire","2","low","class","1",NA,"lsi",16.5467980295567,"4"
"35","fire","2","low","class","0",NA,"np",274,"4"
"36","fire","2","low","class","1",NA,"np",298,"4"
"37","fire","2","low","class","0",NA,"para_mn",0.10223057302195,"4"
"38","fire","2","low","class","1",NA,"para_mn",0.103082881186851,"4"
"39","fire","2","low","class","0",NA,"pland",60.1058860168172,"4"
"40","fire","2","low","class","1",NA,"pland",39.8941139831828,"4"
"41","fire","3","high","class","0",NA,"area_mn",22.467,"4"
"42","fire","3","high","class","1",NA,"area_mn",2.1639375,"4"
"43","fire","3","high","class","0",NA,"lsi",8.63,"4"
"44","fire","3","high","class","1",NA,"lsi",12.896,"4"
