"","fire","landscape","threshold","level","class","id","metric","value","rule"
"1","fire","1","high","landscape",NA,NA,"contag",61.3005917690527,"4"
"2","fire","1","high","landscape",NA,NA,"ed",31.3927781871776,"4"
"3","fire","1","high","landscape",NA,NA,"lpi",86.3485630066323,"4"
"4","fire","1","high","landscape",NA,NA,"shei",0.531285408432778,"4"
"5","fire","1","high","landscape",NA,NA,"sidi",0.212218407895087,"4"
"6","fire","1","low","landscape",NA,NA,"contag",46.314739058385,"4"
"7","fire","1","low","landscape",NA,NA,"ed",30.0294767870302,"4"
"8","fire","1","low","landscape",NA,NA,"lpi",47.3949889462049,"4"
"9","fire","1","low","landscape",NA,NA,"shei",0.817066013898294,"4"
"10","fire","1","low","landscape",NA,NA,"sidi",0.378657445848351,"4"
"11","fire","2","high","landscape",NA,NA,"contag",46.0201398715562,"4"
"12","fire","2","high","landscape",NA,NA,"ed",55.3046818229004,"4"
"13","fire","2","high","landscape",NA,NA,"lpi",79.1147617564622,"4"
"14","fire","2","high","landscape",NA,NA,"shei",0.685594833829366,"4"
"15","fire","2","high","landscape",NA,NA,"sidi",0.298433970383262,"4"
"16","fire","2","low","landscape",NA,NA,"contag",24.6592558200439,"4"
"17","fire","2","low","landscape",NA,NA,"ed",79.2717741098308,"4"
"18","fire","2","low","landscape",NA,NA,"lpi",48.7659607598879,"4"
"19","fire","2","low","landscape",NA,NA,"shei",0.970327830118902,"4"
"20","fire","2","low","landscape",NA,NA,"sidi",0.47957421356302,"4"
"21","fire","3","high","landscape",NA,NA,"contag",54.6696494716157,"4"
"22","fire","3","high","landscape",NA,NA,"ed",40.2067340579159,"4"
"23","fire","3","high","landscape",NA,NA,"lpi",84.0997187808771,"4"
"24","fire","3","high","landscape",NA,NA,"shei",0.600238198260148,"4"
"25","fire","3","high","landscape",NA,NA,"sidi",0.249645376128793,"4"
"26","fire","3","low","landscape",NA,NA,"contag",38.1081915697026,"4"
"27","fire","3","low","landscape",NA,NA,"ed",50.1634111119556,"4"
"28","fire","3","low","landscape",NA,NA,"lpi",70.076765220035,"4"
"29","fire","3","low","landscape",NA,NA,"shei",0.854780934760866,"4"
"30","fire","3","low","landscape",NA,NA,"sidi",0.402767443669942,"4"
"31","fire","4","high","landscape",NA,NA,"contag",46.5367825701657,"4"
"32","fire","4","high","landscape",NA,NA,"ed",51.4650919419943,"4"
"33","fire","4","high","landscape",NA,NA,"lpi",79.5634624009568,"4"
"34","fire","4","high","landscape",NA,NA,"shei",0.702124630532653,"4"
"35","fire","4","high","landscape",NA,NA,"sidi",0.308187246814962,"4"
"36","fire","4","low","landscape",NA,NA,"contag",26.8271959669296,"4"
"37","fire","4","low","landscape",NA,NA,"ed",72.7687247720138,"4"
"38","fire","4","low","landscape",NA,NA,"lpi",57.886081626551,"4"
"39","fire","4","low","landscape",NA,NA,"shei",0.965020125647334,"4"
"40","fire","4","low","landscape",NA,NA,"sidi",0.475950400960192,"4"
"41","fire","5","high","landscape",NA,NA,"contag",45.3151101282128,"4"
"42","fire","5","high","landscape",NA,NA,"ed",31.9661578076145,"4"
"43","fire","5","high","landscape",NA,NA,"lpi",72.8195696155968,"4"
"44","fire","5","high","landscape",NA,NA,"shei",0.822661490482123,"4"
"45","fire","5","high","landscape",NA,NA,"sidi",0.382204115162802,"4"
"46","fire","5","low","landscape",NA,NA,"contag",38.7140942001289,"4"
"47","fire","5","low","landscape",NA,NA,"ed",31.8435411685366,"4"
"48","fire","5","low","landscape",NA,NA,"lpi",38.2600698914843,"4"
"49","fire","5","low","landscape",NA,NA,"shei",0.948949398752282,"4"
"50","fire","5","low","landscape",NA,NA,"sidi",0.465033811307065,"4"
