"","fire","landscape","threshold","level","class","id","metric","value","rule"
"1","fire","1","high","class","0",NA,"area_mn",43.8336734693878,"8"
"2","fire","1","high","class","1",NA,"area_mn",4.46590909090909,"8"
"3","fire","1","high","class","0",NA,"lsi",5.13268608414239,"8"
"4","fire","1","high","class","1",NA,"lsi",11.6260869565217,"8"
"5","fire","1","high","class","0",NA,"np",49,"8"
"6","fire","1","high","class","1",NA,"np",66,"8"
"7","fire","1","high","class","0",NA,"para_mn",0.110170466081569,"8"
"8","fire","1","high","class","1",NA,"para_mn",0.0924828116048748,"8"
"9","fire","1","high","class","0",NA,"pland",87.9329403095063,"8"
"10","fire","1","high","class","1",NA,"pland",12.0670596904937,"8"
"11","fire","1","low","class","0",NA,"area_mn",56.9671875,"8"
"12","fire","1","low","class","1",NA,"area_mn",13.1840425531915,"8"
"13","fire","1","low","class","0",NA,"lsi",5.2421052631579,"8"
"14","fire","1","low","class","1",NA,"lsi",7.93975903614458,"8"
"15","fire","1","low","class","0",NA,"np",32,"8"
"16","fire","1","low","class","1",NA,"np",47,"8"
"17","fire","1","low","class","0",NA,"para_mn",0.104274407137621,"8"
"18","fire","1","low","class","1",NA,"para_mn",0.0980418552464699,"8"
"19","fire","1","low","class","0",NA,"pland",74.6315401621223,"8"
"20","fire","1","low","class","1",NA,"pland",25.3684598378777,"8"
"21","fire","2","high","class","0",NA,"area_mn",33.7483928571429,"8"
"22","fire","2","high","class","1",NA,"area_mn",2.3445,"8"
"23","fire","2","high","class","0",NA,"lsi",12.2689655172414,"8"
"24","fire","2","high","class","1",NA,"lsi",16.3138686131387,"8"
"25","fire","2","high","class","0",NA,"np",56,"8"
"26","fire","2","high","class","1",NA,"np",180,"8"
"27","fire","2","high","class","0",NA,"para_mn",0.109026895576517,"8"
"28","fire","2","high","class","1",NA,"para_mn",0.100587971188265,"8"
"29","fire","2","high","class","0",NA,"pland",81.7463407038306,"8"
"30","fire","2","high","class","1",NA,"pland",18.2536592961694,"8"
"31","fire","2","low","class","0",NA,"area_mn",10.3701492537313,"8"
"32","fire","2","low","class","1",NA,"area_mn",5.01260869565217,"8"
"33","fire","2","low","class","0",NA,"lsi",17.1927710843373,"8"
"34","fire","2","low","class","1",NA,"lsi",16.5467980295567,"8"
"35","fire","2","low","class","0",NA,"np",134,"8"
"36","fire","2","low","class","1",NA,"np",184,"8"
"37","fire","2","low","class","0",NA,"para_mn",0.100273048499059,"8"
"38","fire","2","low","class","1",NA,"para_mn",0.101020190806114,"8"
"39","fire","2","low","class","0",NA,"pland",60.1058860168172,"8"
"40","fire","2","low","class","1",NA,"pland",39.8941139831828,"8"
"41","fire","3","high","class","0",NA,"area_mn",43.9571739130435,"8"
"42","fire","3","high","class","1",NA,"area_mn",3.53295918367347,"8"
"43","fire","3","high","class","0",NA,"lsi",8.63,"8"
"44","fire","3","high","class","1",NA,"lsi",12.896,"8"
"45","fire","3","high","class","0",NA,"np",46,"8"
"46","fire","3","high","class","1",NA,"np",98,"8"
"47","fire","3","high","class","0",NA,"para_mn",0.106782448142599,"8"
"48","fire","3","high","class","1",NA,"para_mn",0.105199145028483,"8"
"49","fire","3","high","class","0",NA,"pland",85.380405867599,"8"
"50","fire","3","high","class","1",NA,"pland",14.619594132401,"8"
"51","fire","3","low","class","0",NA,"area_mn",25.0927941176471,"8"
"52","fire","3","low","class","1",NA,"area_mn",4.47263513513513,"8"
"53","fire","3","low","class","0",NA,"lsi",10.554347826087,"8"
"54","fire","3","low","class","1",NA,"lsi",12.0581395348837,"8"
"55","fire","3","low","class","0",NA,"np",68,"8"
"56","fire","3","low","class","1",NA,"np",148,"8"
"57","fire","3","low","class","0",NA,"para_mn",0.104300394627168,"8"
"58","fire","3","low","class","1",NA,"para_mn",0.11169935079703,"8"
"59","fire","3","low","class","0",NA,"pland",72.049099338755,"8"
"60","fire","3","low","class","1",NA,"pland",27.950900661245,"8"
"61","fire","4","high","class","0",NA,"area_mn",31.9632786885246,"8"
"62","fire","4","high","class","1",NA,"area_mn",3.44571428571429,"8"
"63","fire","4","high","class","0",NA,"lsi",9.2,"8"
"64","fire","4","high","class","1",NA,"lsi",15.2447552447552,"8"
"65","fire","4","high","class","0",NA,"np",61,"8"
"66","fire","4","high","class","1",NA,"np",133,"8"
"67","fire","4","high","class","0",NA,"para_mn",0.102991530569877,"8"
"68","fire","4","high","class","1",NA,"para_mn",0.0955764331592351,"8"
"69","fire","4","high","class","0",NA,"pland",80.9687546718493,"8"
"70","fire","4","high","class","1",NA,"pland",19.0312453281507,"8"
"71","fire","4","low","class","0",NA,"area_mn",14.8290909090909,"8"
"72","fire","4","low","class","1",NA,"area_mn",4.39233644859813,"8"
"73","fire","4","low","class","0",NA,"lsi",13.44140625,"8"
"74","fire","4","low","class","1",NA,"lsi",15.4292682926829,"8"
"75","fire","4","low","class","0",NA,"np",99,"8"
"76","fire","4","low","class","1",NA,"np",214,"8"
"77","fire","4","low","class","0",NA,"para_mn",0.106325288363896,"8"
"78","fire","4","low","class","1",NA,"para_mn",0.102728910650049,"8"
"79","fire","4","low","class","0",NA,"pland",60.9657646882942,"8"
"80","fire","4","low","class","1",NA,"pland",39.0342353117058,"8"
"81","fire","5","high","class","0",NA,"area_mn",26.3347826086957,"8"
"82","fire","5","high","class","1",NA,"area_mn",14.6406976744186,"8"
"83","fire","5","high","class","0",NA,"lsi",5.7719298245614,"8"
"84","fire","5","high","class","1",NA,"lsi",7.95833333333333,"8"
"85","fire","5","high","class","0",NA,"np",69,"8"
"86","fire","5","high","class","1",NA,"np",43,"8"
"87","fire","5","high","class","0",NA,"para_mn",0.1030705830387,"8"
"88","fire","5","high","class","1",NA,"para_mn",0.100414009531972,"8"
"89","fire","5","high","class","0",NA,"pland",74.2688982894979,"8"
"90","fire","5","high","class","1",NA,"pland",25.7311017105021,"8"
"91","fire","5","low","class","0",NA,"area_mn",38.67075,"8"
"92","fire","5","low","class","1",NA,"area_mn",11.3901265822785,"8"
"93","fire","5","low","class","0",NA,"lsi",6.12927756653992,"8"
"94","fire","5","low","class","1",NA,"lsi",6.8,"8"
"95","fire","5","low","class","0",NA,"np",40,"8"
"96","fire","5","low","class","1",NA,"np",79,"8"
"97","fire","5","low","class","0",NA,"para_mn",0.102274269699275,"8"
"98","fire","5","low","class","1",NA,"para_mn",0.111419542651577,"8"
"99","fire","5","low","class","0",NA,"pland",63.2223652749678,"8"
"100","fire","5","low","class","1",NA,"pland",36.7776347250322,"8"
